lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56
lang_code	en	se	es	el	de	du	he	fr	fq	no	zh	zt	ru	hy	sk	id	gr	ei	pe	pt	pa	ar	da	tr	po	am	it	hi	ro	vi	hu	sq	cs	uk	bn	et	fa	li	si	ja	fi	ko	ka	bs	hr	sr	mr	so	mn	ta	ur	th	fp	bg	te	dd
lang_description	English (Standard)	Swedish	Spanish (Spain)	Spanish (Latin American)	German	Dutch	Hebrew	French (Standard)	French (Canadian)	Norwegian	Chinese (Simplified)	Chinese (Traditional)	Russian	Armenian	Slovak	Bahasa Indonesia	Greek	English (Indian)	Portuguese (European)	Portuguese (Brazilian)	Portuguese (Angolan)	Arabic	Danish	Turkish	Polish	Amharic	Italian	Hindi	Romanian	Vietnamese	Hungarian	Albanian	Czech	Ukrainian	Bengali	Estonian	Persian	Lithuanian	Sinhala	Japanese	Finnish	Korean	Georgian	Bosnian	Croatian	Serbian	Marathi	Somali	Mongolian	Tamil	Urdu	Thai	Filipino	Bulgarian	Telugu	dummy
lang_is_rtl	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
(DO NOT EDIT BELOW)	(DO NOT EDIT BELOW)	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	(DO EDIT BELOW)	(DO EDIT BELOW)	(DO EDIT BELOW)	(DO EDIT BELOW)	(DO EDIT BELOW)	(DO EDIT BELOW)	(DO NOT EDIT BELOW)
cons_id	constant_name	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition
1	A	En	Un, Una	Un, Una	Ein	A	A	Un	Un		一	一				Sebuah	Ένα		Um	Um		ا	A	Bir	A		Un	एक	A	Một		nje	A	А	এ	A	یک	A		一つの	Yksi		A				एक	A	нэг	ஒரு		เอ	A			dummy
2	A check number or claim number to identify the payment	Ett betalningsnr för att identifiera betalningen	Un número de cheque o reclamación para identificar el pago	Un número de cheque o reclamación para identificar el pago	Schecknummer oder Reklamationsnummer ist erforderlich, um Zahlung zu identifizieren	Chequenummer of claimnummer om betaling te identificeren	מספר המחאה או מספר תביעה לזיהוי התשלום	Un numéro de chèque ou un numéro de réclamation pour identifier le paiement.	Un numéro de chèque ou un numéro de réclamation pour identifier le paiement.	Et betalingsnummer til å identifisere betalingen	支票或索赔编号用于辨别付款	一個支票或申索號碼 用來查詢付款	Номер чека или приходного документа для идентификации оплаты	Գրանցման  կամ պահանջագրի համարը՝ վճարումը նույնականացնելու համար		Nomor cek atau nomor klaim untuk identifikasi pembayaran	Αρ. Επιταγής ή Αιτήματος αποζημίωσης, προς ταυτοποίηση πληρωμής		Número de cheque ou de crédito para identificar o pagamento	Um número do cheque ou do crédito para identificar o pagamento		رقم الإيصال أو المطالبة للتعريف بالدفع	Nummer, der identificerer betalingen	Ödemeyi tanımlamak için bir çek numarası veya talep numarası	Numer czeku lub rachunku do identyfikacji płatności		Numero assegno o identificativo pagamento	एक चेक नंबर या claim नंबर भुगतान की पहचान के लिए	Un numar de control sau un numar de identificare a platii	Số séc hoặc số yêu cầu để nhận biết việc thanh toán		Numer fature	Kontrola čísla nebo číla požadavku k identifikaci platby	Номер чеку та ідентифікаційний номер платежу	পেমেন্ট চেনার জন্য চেক নম্বর অথবা ক্লেম নম্বর	Tšeki või nõude number maksmise tuvastamiseks	شماره چک یا شماره پرونده برای پیگیری پرداخت	Reikalingas sąskaitos ar paraiškos numeris identifikuojant apmokėjimą		支払を識別するための小切手番号もしくは請求番号	Viitenumero		ჩეკის ნომერი				एक चेक नंबर किंवा दावा संख्या पैसे ओळखण्यासाठी	U hubso tirsiga ama tirsiga qaanta si aad u aqoonsato bixinta	Төлбөрийг ялгах дугаар	கட்டணம் கண்டறிய ஒரு காசோலை எண் அல்லது கூற்று எண்		หมายเลขสำหรับการตรวจสอบการชำระเงิน หรือหมายเลขเคลม	Isang numero ng tseke o numero ng paghahabol upang matukoy ang pagbabayad			dummy
3	A claim must be selected to enable this menu.		Debe escoger una reclamación para activar este menú	Una reclamación debe ser escogida para activar este menú 	Ein Anspruch muss ausgewählt werden, um dieses Menü zu aktivieren.	Selecteer claim om menu te activeren		Une réclamation doit être sélectionnée pour identifier le paiement.								Klaim harus dipilih untuk mengaktifkan menu ini.			Uma reclamação deve ser selecionada para habilitar este menu.	Uma reivindicação deve ser selecionada para ativar este menu.									Trebui selectat un drept pentru a permite acest meniu 	Phải chọn một yêu cầu để kích hoạt trình đơn này							برای فعال کردن این منو باید یک شماره پرونده انتخاب شود.																			dummy
4	A client certificate for the admin user	Klientcertifikat för admin användaren	Un certificado de cliente para el usuario administrador	Un certificado del cliente para el usuario de admin	Klienten Zertifikat für Administrator	Een certificaat voor de ADMIN gebruiker	אישור לקוח עבור משתמש מנהל המערכת	Un certificat client pour l\'administrateur	Un certificat du client pour l\'administrateur		管理员用户的客户端证书	一個管理員用戶的客戶端證書	Сертификат клиента для пользователя admin	Որպես ԱԴՄԻՆ օգտվող  հաճախորդի հավաստագիր		Sertifikat untuk pengguna admin	Ένα πιστοποιητικό πελάτη για τον Διαχειριστή		Certificado de cliente para o administrador do sistema	Um certificado cliente para o usuário administrador		شهادة عميل للمستخدم المشرف	Patient certificat til administrator	Yönetici kullanıcısı için bir müşteri sertifikası	Certifikat klienta dla użytkownika administracyjnego		Un certificato del Client per l\'utente admin	एक client certificate computer व्यवस्थापक के लिए	Un certificat de autentificare pentru administrator	Một giấy chứng nhận của máy khách cho người quản trị		Nje certifikate klienti per perdoruesin me te drejta administrimi	Klientský certifikát pro správce	Сертифікат клієнта для користувача admin	অ্যাডমিন এর জন্য ক্লায়েন্ট সার্টিফিকেট	Admin kasutaja kliendisertifikaat	گواهی کاربر برای کاربر مدیر	Kliento sertifikatas skirtas sistemos administratoriui		管理者のためのクライアント証明	Pääkäyttäjän käyttöoikeusvarmenne		კლიენტის სერტიფიკატი ადმინისთვის				प्रशासक वापरकर्ता एक क्लायंट प्रमाणपत्र	Cadeynta macmiilka ee mareynta isticmallaha	Админ хэрэглэгчийн сертификат	நிர்வாகி பயனருக்கு  வாடிக்கையாளர் (கிளையன்ட்) சான்றிதழ்		ใบรับรองอิเล็กทรอนิกส์สำหรับแอดมิน	Isang certificate ng kliyente para sa user na admin			dummy
5	A Clinical Decision Rule is patient specific information that is filtered and presented at appropriate times to enhance health and health care				Eine klinische Entscheidungsregel besteht aus patientenspezifischen Informationen, die gefiltert und zu geeigneten Zeiten angezeigt werden, um die Gesundheit und die Gesundheitsfürsorge zu verbessern												Ένας Κανόνας Κλινικής Αποφάσης αποτελεί πληροφορίες ειδικές για κάθε ασθενή που φιλτράρονται και εμφανίζονται την κατάλληλη στιγμή, προκειμένου να βελτιωθούν οι ιατρικές υπηρεσίες		Uma regra de decisão clínica consiste em informações específicas do paciente que são filtradas e apresentadas em momentos apropriados para melhorar a saúde e os cuidados de saúde	Uma Regra de Decisão Clínica é a informação específica do paciente que é filtrada e apresentada em momentos apropriados para melhorar a saúde e cuidados de saúde										Một Quy tắc Quyết định Lâm sàng là thông tin đặc trưng của bệnh nhân được lọc và trình bày tại những thời điểm thích hợp để nâng cao sức khỏe và sự chăm sóc sức khỏe 							یک قانون تصمیم بالینی اطلاعات مختص به بیمار است که برای بهبود سلامت و حفظ سلامتی فیلتر شده و در زمان مناسب ارائه میشود												Энэ төрлийн кодыг аль хэдийн сонгосон байна. Хэрэв та солих шаардлагатай бол эхлээд талбарыг арилгана уу.							dummy
